[Parsed_volumedetect_2 @ 0x863008e40] n_samples: 0
[Parsed_ebur128_1 @ 0x863009200] t: 5.900979   TARGET:-23 LUFS    M:  -6.5 S:  -6.8     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:   0.1  -0.5 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.000979   TARGET:-23 LUFS    M:  -6.4 S:  -6.9     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:  -2.3  -2.4 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.100979   TARGET:-23 LUFS    M:  -6.3 S:  -7.0     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:  -1.8  -2.4 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.200979   TARGET:-23 LUFS    M:  -7.5 S:  -6.9     I:  -7.8 LUFS       LRA:   3.7 LU  FTPK:  -7.6  -7.9 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.300979   TARGET:-23 LUFS    M: -11.0 S:  -6.8     I:  -7.8 LUFS       LRA:   3.7 LU  FTPK:   0.1   0.3 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.400979   TARGET:-23 LUFS    M:  -8.1 S:  -6.6     I:  -7.8 LUFS       LRA:   3.6 LU  FTPK:   0.2   0.4 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.500979   TARGET:-23 LUFS    M:  -8.0 S:  -6.5     I:  -7.8 LUFS       LRA:   3.7 LU  FTPK:  -1.4  -3.4 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.600979   TARGET:-23 LUFS    M:  -7.7 S:  -6.5     I:  -7.8 LUFS       LRA:   3.9 LU  FTPK:  -4.4  -4.0 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.700979   TARGET:-23 LUFS    M:  -8.5 S:  -6.5     I:  -7.8 LUFS       LRA:   3.9 LU  FTPK:  -8.2  -9.0 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.800979   TARGET:-23 LUFS    M: -12.7 S:  -6.5     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:  -7.4  -6.8 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 6.900979   TARGET:-23 LUFS    M: -12.4 S:  -6.4     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:   0.0  -2.7 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.000979   TARGET:-23 LUFS    M: -12.4 S:  -6.6     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:  -2.2  -3.5 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.100979   TARGET:-23 LUFS    M: -11.6 S:  -6.8     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:  -4.3  -5.6 dBFS  TPK:   0.5   0.4 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.200979   TARGET:-23 LUFS    M:  -8.4 S:  -6.7     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:   0.7   0.6 dBFS  TPK:   0.7   0.6 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.300979   TARGET:-23 LUFS    M:  -8.1 S:  -6.7     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:  -0.0   0.6 dBFS  TPK:   0.7   0.6 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.400979   TARGET:-23 LUFS    M:  -7.6 S:  -6.8     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:   0.3   0.7 dBFS  TPK:   0.7   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.500979   TARGET:-23 LUFS    M:  -6.7 S:  -7.0     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:   0.6   0.7 dBFS  TPK:   0.7   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.600979   TARGET:-23 LUFS    M:  -7.5 S:  -7.3     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:   0.4   0.5 dBFS  TPK:   0.7   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.700979   TARGET:-23 LUFS    M:  -7.7 S:  -7.6     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:   0.4   0.4 dBFS  TPK:   0.7   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.800979   TARGET:-23 LUFS    M:  -5.9 S:  -7.6     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:   0.9   0.4 dBFS  TPK:   0.9   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 7.900979   TARGET:-23 LUFS    M:  -6.7 S:  -7.6     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:  -4.1  -5.8 dBFS  TPK:   0.9   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.000979   TARGET:-23 LUFS    M:  -7.3 S:  -7.6     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:  -6.4  -5.5 dBFS  TPK:   0.9   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.100979   TARGET:-23 LUFS    M:  -7.4 S:  -7.9     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:  -1.0  -0.1 dBFS  TPK:   0.9   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.200979   TARGET:-23 LUFS    M: -10.4 S:  -8.2     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:  -1.7  -1.1 dBFS  TPK:   0.9   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.300979   TARGET:-23 LUFS    M:  -9.3 S:  -8.4     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:  -0.2  -0.4 dBFS  TPK:   0.9   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.400979   TARGET:-23 LUFS    M:  -8.7 S:  -8.3     I:  -8.0 LUFS       LRA:   4.0 LU  FTPK:  -1.2   0.2 dBFS  TPK:   0.9   0.7 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.500979   TARGET:-23 LUFS    M:  -6.4 S:  -7.9     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:   0.7   1.0 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.600979   TARGET:-23 LUFS    M:  -5.1 S:  -7.6     I:  -7.9 LUFS       LRA:   4.0 LU  FTPK:   0.9   0.9 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.700979   TARGET:-23 LUFS    M:  -4.5 S:  -7.3     I:  -7.8 LUFS       LRA:   4.0 LU  FTPK:   0.5   0.7 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.800979   TARGET:-23 LUFS    M:  -4.3 S:  -7.4     I:  -7.8 LUFS       LRA:   4.0 LU  FTPK:  -0.0   0.3 dBFS  TPK:   0.9   1.0 dBFS
[Parsed_ebur128_1 @ 0x863009200] t: 8.900979   TARGET:-23 LUFS    M:  -5.8 S:  -7.8     I:  -7.7 LUFS       LRA:   4.0 LU  FTPK:  -6.6  -6.7 dBFS  TPK:   0.9   1.0 dBFS
